Date/Time,System,MCM,RCV0,RCV1,EL,AZ,GPS,IRT,S3,PMB
01/31/2021 10:01:01,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:02:45,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:04:30,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:06:13,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:07:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:09:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:11:25,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:13:09,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:14:53,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:16:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:18:21,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:20:05,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:21:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:23:33,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:25:17,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:27:01,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:28:44,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:30:28,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:32:12,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:33:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:35:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:37:24,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:39:09,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:40:52,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:42:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:44:20,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:46:04,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:47:48,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:49:32,0,2,2,0,2,2,2,2,2,2
01/31/2021 10:51:16,0,2,2,0,2,2,2,2,0,2
01/31/2021 10:53:01,0,2,2,0,2,2,2,2,0,2
01/31/2021 10:54:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 10:56:28,0,2,2,0,2,2,2,2,0,2
01/31/2021 10:58:12,0,2,2,0,2,2,2,2,0,2
01/31/2021 10:59:56,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:01:40,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:03:24,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:05:08,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:06:52,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:08:36,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:10:19,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:12:04,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:13:48,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:15:32,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:17:16,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:19:00,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:20:45,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:22:29,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:24:13,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:25:57,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:27:41,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:29:25,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:31:09,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:32:53,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:34:36,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:36:21,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:38:05,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:39:49,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:41:33,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:43:17,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:45:02,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:46:46,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:48:29,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:50:13,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:51:57,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:53:41,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:55:25,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:57:09,0,2,2,0,2,2,2,2,0,2
01/31/2021 11:58:54,0,2,2,0,2,2,2,2,0,2
01/31/2021 12:00:38,0,2,2,0,2,2,2,2,0,2
01/31/2021 12:02:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:04:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:05:50,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:07:34,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:09:19,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:11:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:12:46,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:14:30,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:16:14,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:17:58,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:19:42,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:21:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:23:10,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:24:54,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:26:38,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:28:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:30:07,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:31:51,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:33:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:35:20,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:37:04,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:38:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:40:33,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:42:17,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:44:00,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:45:44,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:47:27,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:49:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:50:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:52:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:54:23,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:56:07,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:57:52,0,2,2,0,2,2,2,2,2,2
01/31/2021 12:59:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:01:20,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:03:05,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:04:49,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:06:32,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:08:16,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:10:00,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:11:44,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:13:27,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:15:11,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:16:55,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:18:39,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:20:24,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:22:08,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:23:52,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:25:36,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:27:20,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:29:03,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:30:48,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:32:32,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:34:15,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:36:00,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:37:44,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:39:28,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:41:13,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:42:57,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:44:41,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:46:26,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:48:09,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:49:53,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:51:37,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:53:22,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:55:06,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:56:50,0,2,2,0,2,2,2,2,2,2
01/31/2021 13:58:33,0,2,2,0,2,2,2,2,2,2
01/31/2021 14:00:18,0,2,2,0,2,2,2,2,2,2
01/31/2021 14:02:02,0,2,2,0,2,2,2,2,2,2
01/31/2021 14:03:46,0,2,2,0,2,2,2,2,2,2
01/31/2021 14:05:31,0,2,2,0,2,2,2,2,2,2
01/31/2021 14:07:16,0,2,2,0,2,2,2,2,2,2
